ZIP Code,Total Population,Poverty Count,Median Household Income,SNAP Households,White Population,Black Population,American Indian Population,Asian Population,Pacific Islander Population,Other Race Population,Two or More Races Population,High School Graduate,Bachelor's Degree,Master's Degree,Doctorate Degree
92365,2514,537,61944.0,188,1528,233,0,198,0,62,493,431,89,41,0
92368,925,157,75000.0,80,496,25,3,36,0,121,244,187,43,22,9
92369,3305,164,,0,1306,1004,122,160,22,194,497,599,196,0,0
92371,21678,3124,78761.0,1222,13658,148,260,635,80,2090,4807,4315,1080,476,19
92372,4854,919,63665.0,266,3594,2,0,304,23,273,658,950,354,120,17
92373,34816,2166,99354.0,750,20633,1767,191,4324,0,3511,4390,3471,6241,3783,1054
92374,44287,3894,96237.0,1112,21193,2552,382,3763,603,7457,8337,6091,4595,3778,613
92376,84161,12082,76914.0,4611,22689,9230,1122,1541,37,31154,18388,17263,4089,974,64
92377,21685,2248,111088.0,766,6293,3876,95,749,21,6481,4170,3696,2256,727,116
92378,445,33,70515.0,6,317,13,0,11,0,69,35,46,98,2,0
92382,5301,709,85208.0,246,3958,8,62,140,0,207,926,634,837,329,26
92384,18,0,,0,18,0,0,0,0,0,0,0,0,18,0
92385,186,33,72778.0,23,167,0,0,0,0,0,19,12,70,35,0
